relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0193,13.15,3.6820450235644255
-29.5,,,,,,,0.0193,13.15,3.6820450235644255
-29.0,,,10.373045294251725,,,90.2163521741,0.0193,13.15,3.6820450235644255
-28.5,,,,,,,0.0193,13.15,3.6820450235644255
-28.0,,,,,,,0.0193,13.15,3.6820450235644255
-27.5,,,,,,,0.0193,13.15,3.6820450235644255
-27.0,,,,,,,0.0193,13.15,3.6820450235644255
-26.5,,,,,,,0.0193,13.15,3.6820450235644255
-26.0,,,,,,,0.0193,13.15,3.6820450235644255
-25.5,,,,,,,0.0193,13.15,3.6820450235644255
-25.0,,,,,,,0.0193,13.15,3.6820450235644255
-24.5,,,,,,,0.0193,13.15,3.6820450235644255
-24.0,,,,,,,0.0193,13.15,3.6820450235644255
-23.5,,,,,,,0.0193,13.15,3.6820450235644255
-23.0,,,,,,,0.0193,13.15,3.6820450235644255
-22.5,,,,,,,0.0193,13.15,3.6820450235644255
-22.0,,,,,,,0.0193,13.15,3.6820450235644255
-21.5,,,,,,,0.0193,13.15,3.6820450235644255
-21.0,,,,,,,0.0193,13.15,3.6820450235644255
-20.5,,,,,,,0.0193,13.15,3.6820450235644255
-20.0,,23.388620526149857,66.43315245074506,,25.5241841806813,22.7992391902626,0.0193,13.15,3.6820450235644255
-19.5,,,,,,,0.0193,13.15,3.6820450235644255
-19.0,,,,,,,0.0193,13.15,3.6820450235644255
-18.5,,,,,,,0.0193,13.15,3.6820450235644255
-18.0,,,,,,,0.0193,13.15,3.6820450235644255
-17.5,,,,,,,0.0193,13.15,3.6820450235644255
-17.0,,48.32738123416635,,,25.0710451427677,,0.0193,13.15,3.6820450235644255
-16.5,,,,,,,0.0193,13.15,3.6820450235644255
-16.0,,,,,,,0.0193,13.15,3.6820450235644255
-15.5,,,,,,,0.0193,13.15,3.6820450235644255
-15.0,,,,,,,0.0193,13.15,3.6820450235644255
-14.5,,,,,,,0.0193,13.15,3.6820450235644255
