relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0103,13.55,8.361496410465188
-29.5,,,,,,,0.0103,13.55,8.361496410465188
-29.0,,,,,,,0.0103,13.55,8.361496410465188
-28.5,,,,,,,0.0103,13.55,8.361496410465188
-28.0,,,,,,,0.0103,13.55,8.361496410465188
-27.5,,,,,,,0.0103,13.55,8.361496410465188
-27.0,,,,,,,0.0103,13.55,8.361496410465188
-26.5,,,,,,,0.0103,13.55,8.361496410465188
-26.0,,,,,,,0.0103,13.55,8.361496410465188
-25.5,,,,,,,0.0103,13.55,8.361496410465188
-25.0,,,,,,,0.0103,13.55,8.361496410465188
-24.5,,,,,,,0.0103,13.55,8.361496410465188
-24.0,,,,,,,0.0103,13.55,8.361496410465188
-23.5,,,,,,,0.0103,13.55,8.361496410465188
-23.0,,,,,,,0.0103,13.55,8.361496410465188
-22.5,,,,,,,0.0103,13.55,8.361496410465188
-22.0,,,,,,,0.0103,13.55,8.361496410465188
-21.5,,,,,,,0.0103,13.55,8.361496410465188
-21.0,,,,,,,0.0103,13.55,8.361496410465188
-20.5,,,,,,,0.0103,13.55,8.361496410465188
-20.0,,,,,,,0.0103,13.55,8.361496410465188
-19.5,,,,,,,0.0103,13.55,8.361496410465188
-19.0,,,,,,,0.0103,13.55,8.361496410465188
-18.5,,,,,,,0.0103,13.55,8.361496410465188
-18.0,,,,,,,0.0103,13.55,8.361496410465188
-17.5,,,,,,,0.0103,13.55,8.361496410465188
-17.0,,,,,,,0.0103,13.55,8.361496410465188
-16.5,,,,,,,0.0103,13.55,8.361496410465188
-16.0,,,,,,,0.0103,13.55,8.361496410465188
-15.5,,,,,,,0.0103,13.55,8.361496410465188
-15.0,,,,,,,0.0103,13.55,8.361496410465188
-14.5,,,,,,,0.0103,13.55,8.361496410465188
-14.0,,,,,,,0.0103,13.55,8.361496410465188
-13.5,,,,,,,0.0103,13.55,8.361496410465188
-13.0,,,,,,,0.0103,13.55,8.361496410465188
-12.5,,,,,,,0.0103,13.55,8.361496410465188
-12.0,,,,,,,0.0103,13.55,8.361496410465188
-11.5,-755.3465851173494,,,421.74892815693937,,,0.0103,13.55,8.361496410465188
-11.0,-571.0565852016595,,,414.69615862954095,,,0.0103,13.55,8.361496410465188
