relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0133,11.8,6.870109169438285
-29.5,,,,,,,0.0133,11.8,6.870109169438285
-29.0,,,,,,,0.0133,11.8,6.870109169438285
-28.5,,,,,,,0.0133,11.8,6.870109169438285
-28.0,,,,,,,0.0133,11.8,6.870109169438285
-27.5,,,,,,,0.0133,11.8,6.870109169438285
-27.0,,,,,,,0.0133,11.8,6.870109169438285
-26.5,,,,,,,0.0133,11.8,6.870109169438285
-26.0,,,,,,,0.0133,11.8,6.870109169438285
-25.5,,,,,,,0.0133,11.8,6.870109169438285
-25.0,,,,,,,0.0133,11.8,6.870109169438285
-24.5,,,,,,,0.0133,11.8,6.870109169438285
-24.0,,,,,,,0.0133,11.8,6.870109169438285
-23.5,,,,,,,0.0133,11.8,6.870109169438285
-23.0,,,,,,,0.0133,11.8,6.870109169438285
-22.5,,,,,,,0.0133,11.8,6.870109169438285
-22.0,,,,,,,0.0133,11.8,6.870109169438285
-21.5,,,,,,,0.0133,11.8,6.870109169438285
-21.0,,,,,,,0.0133,11.8,6.870109169438285
-20.5,,,,,,,0.0133,11.8,6.870109169438285
-20.0,,,,,,,0.0133,11.8,6.870109169438285
-19.5,,,,,,,0.0133,11.8,6.870109169438285
-19.0,,,,,,,0.0133,11.8,6.870109169438285
-18.5,,,,,,,0.0133,11.8,6.870109169438285
-18.0,,,,,,,0.0133,11.8,6.870109169438285
-17.5,,,,,,,0.0133,11.8,6.870109169438285
-17.0,,,,,,,0.0133,11.8,6.870109169438285
-16.5,,,,,,,0.0133,11.8,6.870109169438285
-16.0,,,,,,,0.0133,11.8,6.870109169438285
-15.5,,,,,,,0.0133,11.8,6.870109169438285
-15.0,,,,,,,0.0133,11.8,6.870109169438285
-14.5,,,,,,,0.0133,11.8,6.870109169438285
-14.0,,,,,,,0.0133,11.8,6.870109169438285
-13.5,,,,,,,0.0133,11.8,6.870109169438285
-13.0,,,,,,,0.0133,11.8,6.870109169438285
-12.5,,,,,,,0.0133,11.8,6.870109169438285
-12.0,,,,,,,0.0133,11.8,6.870109169438285
-11.5,,,,,,,0.0133,11.8,6.870109169438285
-11.0,,,,,,,0.0133,11.8,6.870109169438285
-10.5,,,,,,,0.0133,11.8,6.870109169438285
-10.0,,,,,,,0.0133,11.8,6.870109169438285
-9.5,,,,,,,0.0133,11.8,6.870109169438285
-9.0,,,,,,,0.0133,11.8,6.870109169438285
-8.5,,,,,,,0.0133,11.8,6.870109169438285
-8.0,,,,,,,0.0133,11.8,6.870109169438285
-7.5,,,,,,,0.0133,11.8,6.870109169438285
-7.0,,121.61188327785143,,,60.0257113114799,,0.0133,11.8,6.870109169438285
-6.5,,,,,,,0.0133,11.8,6.870109169438285
-6.0,,,,,,,0.0133,11.8,6.870109169438285
-5.5,,,,,,,0.0133,11.8,6.870109169438285
-5.0,,208.46805684686873,181.42127480476543,,60.5554275075215,74.1300369206201,0.0133,11.8,6.870109169438285
-4.5,,,,,,,0.0133,11.8,6.870109169438285
-4.0,,,,,,,0.0133,11.8,6.870109169438285
-3.5,,,,,,,0.0133,11.8,6.870109169438285
-3.0,,,,,,,0.0133,11.8,6.870109169438285
-2.5,,,,,,,0.0133,11.8,6.870109169438285
-2.0,,,,,,,0.0133,11.8,6.870109169438285
-1.5,,,,,,,0.0133,11.8,6.870109169438285
-1.0,,,,,,,0.0133,11.8,6.870109169438285
-0.5,,,,,,,0.0133,11.8,6.870109169438285
0.0,,429.7578817438443,361.84807339447326,,71.6046872207832,109.042245259043,0.0133,11.8,6.870109169438285
0.5,,,,,,,0.0133,11.8,6.870109169438285
1.0,,,,,,,0.0133,11.8,6.870109169438285
1.5,,,,,,,0.0133,11.8,6.870109169438285
2.0,,,,,,,0.0133,11.8,6.870109169438285
2.5,,,,,,,0.0133,11.8,6.870109169438285
3.0,,,,,,,0.0133,11.8,6.870109169438285
3.5,,,,,,,0.0133,11.8,6.870109169438285
4.0,,,,,,,0.0133,11.8,6.870109169438285
4.5,,,,,,,0.0133,11.8,6.870109169438285
5.0,,,,,,,0.0133,11.8,6.870109169438285
5.5,,,,,,,0.0133,11.8,6.870109169438285
6.0,,,,,,,0.0133,11.8,6.870109169438285
6.5,,,,,,,0.0133,11.8,6.870109169438285
7.0,,483.1723508727476,327.13103556717743,,41.4450907893817,45.7821335550758,0.0133,11.8,6.870109169438285
7.5,,,,,,,0.0133,11.8,6.870109169438285
8.0,,,,,,,0.0133,11.8,6.870109169438285
8.5,,,,,,,0.0133,11.8,6.870109169438285
9.0,,,,,,,0.0133,11.8,6.870109169438285
9.5,,,,,,,0.0133,11.8,6.870109169438285
10.0,,532.8203764352725,322.43423916814464,,42.0363373846081,41.7041862483459,0.0133,11.8,6.870109169438285
10.5,,,,,,,0.0133,11.8,6.870109169438285
11.0,,,,,,,0.0133,11.8,6.870109169438285
11.5,,,,,,,0.0133,11.8,6.870109169438285
12.0,,511.74822642724604,343.5044053894145,,34.0032013868869,34.7998950916043,0.0133,11.8,6.870109169438285
12.5,,,,,,,0.0133,11.8,6.870109169438285
13.0,,,,,,,0.0133,11.8,6.870109169438285
13.5,,,,,,,0.0133,11.8,6.870109169438285
14.0,,,,,,,0.0133,11.8,6.870109169438285
14.5,,,,,,,0.0133,11.8,6.870109169438285
15.0,,,,,,,0.0133,11.8,6.870109169438285
15.5,,,,,,,0.0133,11.8,6.870109169438285
16.0,,,,,,,0.0133,11.8,6.870109169438285
16.5,,,,,,,0.0133,11.8,6.870109169438285
17.0,,,,,,,0.0133,11.8,6.870109169438285
17.5,,,,,,,0.0133,11.8,6.870109169438285
18.0,,,,,,,0.0133,11.8,6.870109169438285
18.5,,,,,,,0.0133,11.8,6.870109169438285
19.0,,,,,,,0.0133,11.8,6.870109169438285
19.5,,,,,,,0.0133,11.8,6.870109169438285
20.0,,,,,,,0.0133,11.8,6.870109169438285
20.5,,,,,,,0.0133,11.8,6.870109169438285
21.0,,,,,,,0.0133,11.8,6.870109169438285
21.5,,,,,,,0.0133,11.8,6.870109169438285
22.0,,,,,,,0.0133,11.8,6.870109169438285
22.5,,,,,,,0.0133,11.8,6.870109169438285
23.0,,,,,,,0.0133,11.8,6.870109169438285
23.5,,,,,,,0.0133,11.8,6.870109169438285
24.0,,,,,,,0.0133,11.8,6.870109169438285
24.5,,,,,,,0.0133,11.8,6.870109169438285
25.0,,,,,,,0.0133,11.8,6.870109169438285
25.5,,,,,,,0.0133,11.8,6.870109169438285
26.0,,,,,,,0.0133,11.8,6.870109169438285
26.5,,,,,,,0.0133,11.8,6.870109169438285
27.0,,,,,,,0.0133,11.8,6.870109169438285
27.5,,,,,,,0.0133,11.8,6.870109169438285
28.0,,,,,,,0.0133,11.8,6.870109169438285
28.5,,,,,,,0.0133,11.8,6.870109169438285
29.0,,,,,,,0.0133,11.8,6.870109169438285
29.5,,,,,,,0.0133,11.8,6.870109169438285
30.0,,,,,,,0.0133,11.8,6.870109169438285
30.5,,,,,,,0.0133,11.8,6.870109169438285
31.0,,,,,,,0.0133,11.8,6.870109169438285
31.5,,,,,,,0.0133,11.8,6.870109169438285
32.0,,,,,,,0.0133,11.8,6.870109169438285
32.5,,,,,,,0.0133,11.8,6.870109169438285
33.0,,,,,,,0.0133,11.8,6.870109169438285
33.5,,,,,,,0.0133,11.8,6.870109169438285
34.0,,,,,,,0.0133,11.8,6.870109169438285
34.5,,,,,,,0.0133,11.8,6.870109169438285
35.0,,,,,,,0.0133,11.8,6.870109169438285
35.5,,,,,,,0.0133,11.8,6.870109169438285
36.0,,,,,,,0.0133,11.8,6.870109169438285
36.5,,,,,,,0.0133,11.8,6.870109169438285
37.0,,,,,,,0.0133,11.8,6.870109169438285
37.5,,,,,,,0.0133,11.8,6.870109169438285
38.0,,,,,,,0.0133,11.8,6.870109169438285
38.5,,,,,,,0.0133,11.8,6.870109169438285
39.0,,,,,,,0.0133,11.8,6.870109169438285
39.5,,,,,,,0.0133,11.8,6.870109169438285
40.0,,,,,,,0.0133,11.8,6.870109169438285
40.5,,,,,,,0.0133,11.8,6.870109169438285
41.0,,,,,,,0.0133,11.8,6.870109169438285
41.5,,,,,,,0.0133,11.8,6.870109169438285
42.0,,149.5343143735305,61.70691431378352,,30.2461523069821,29.4180257243372,0.0133,11.8,6.870109169438285
42.5,,,,,,,0.0133,11.8,6.870109169438285
43.0,,,,,,,0.0133,11.8,6.870109169438285
43.5,,,,,,,0.0133,11.8,6.870109169438285
44.0,,,,,,,0.0133,11.8,6.870109169438285
44.5,,,,,,,0.0133,11.8,6.870109169438285
45.0,,115.18664289981973,66.37735765622122,,31.2577879444387,30.6057995472622,0.0133,11.8,6.870109169438285
45.5,,,,,,,0.0133,11.8,6.870109169438285
46.0,,,,,,,0.0133,11.8,6.870109169438285
46.5,,,,,,,0.0133,11.8,6.870109169438285
47.0,,81.24100313796306,,,45.084699954822,,0.0133,11.8,6.870109169438285
